year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck,year_month
2019,2,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211680.0,6327.0,16749.0,399.0,16434.0,2019_2
2019,2,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,204834.0,7301.0,19598.0,404.0,26881.0,2019_2
2019,2,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69338.0,4471.0,11475.0,160.0,13516.0,2019_2
2019,2,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101168.0,4389.0,17005.0,241.0,12198.0,2019_2
2019,2,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,129121.0,5227.0,18560.0,553.0,15666.0,2019_2
2019,2,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,116949.0,5419.0,16333.0,1166.0,19659.0,2019_2
2019,2,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,116949.0,5419.0,16333.0,1166.0,19659.0,2019_2
2019,2,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67532.0,2576.0,15990.0,135.0,7093.0,2019_2
2019,2,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111249.0,5389.0,20843.0,264.0,13442.0,2019_2
2019,2,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100145.0,5286.0,26204.0,156.0,11044.0,2019_2
2019,2,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,41171.0,3909.0,13097.0,184.0,5413.0,2019_2
2019,2,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,41171.0,3909.0,13097.0,184.0,5413.0,2019_2
2019,2,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,41109.0,3361.0,14617.0,221.0,7234.0,2019_2
2019,2,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93216.0,4932.0,24149.0,416.0,15590.0,2019_2
2019,2,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,115088.0,4810.0,16276.0,292.0,15535.0,2019_2
2019,2,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,41109.0,3361.0,14617.0,221.0,7234.0,2019_2
2019,2,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67532.0,2576.0,15990.0,135.0,7093.0,2019_2
2019,2,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,0.0,0.0,0.0,0.0,0.0,2019_2
2019,2,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81221.0,3883.0,23629.0,164.0,13126.0,2019_2
2019,2,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,134030.0,5808.0,14863.0,341.0,13534.0,2019_2
2019,3,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211513.0,6281.0,16772.0,404.0,16428.0,2019_3
2019,3,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159626.0,5135.0,12879.0,344.0,17066.0,2019_3
2019,3,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114802.0,4778.0,16283.0,293.0,15462.0,2019_3
2019,3,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89425.0,4391.0,20470.0,177.0,11140.0,2019_3
2019,3,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63640.0,3976.0,21699.0,158.0,9331.0,2019_3
2019,3,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173842.0,7783.0,18570.0,421.0,21691.0,2019_3
2019,3,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173842.0,7783.0,18570.0,421.0,21691.0,2019_3
2019,3,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103292.0,4792.0,24361.0,260.0,12624.0,2019_3
2019,3,관악산,과천시 자하동길 64 (관악산 중계소),31110,0.0,0.0,0.0,0.0,0.0,2019_3
2019,3,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83757.0,3458.0,18238.0,283.0,12504.0,2019_3
2019,3,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120316.0,6354.0,15848.0,358.0,17704.0,2019_3
2019,3,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69262.0,4430.0,11480.0,158.0,13486.0,2019_3
2019,3,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67567.0,2542.0,16019.0,135.0,7073.0,2019_3
2019,3,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133918.0,5771.0,14866.0,351.0,13550.0,2019_3
2019,3,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82064.0,3884.0,14690.0,231.0,11060.0,2019_3
2019,3,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211513.0,6281.0,16772.0,404.0,16428.0,2019_3
2019,3,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81064.0,3855.0,23608.0,171.0,13113.0,2019_3
2019,3,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93597.0,3416.0,15046.0,380.0,8919.0,2019_3
