year,month,location,address,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s
2019,1,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,441.6722137,219.7868938,560.614046,776.7218938,708.051472,555.3526829,461.2684319,730.1202558,468.709401,230.0939897,652.0131444,784.5932895,655.8033228,518.5133696,545.8996861,1235.73768
2019,1,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),1091.764014,611.782798,836.8912577,910.0784024,1096.117521,995.2425804,875.424277,1489.483925,989.967049,547.0585321,943.7320853,1024.910725,1150.637768,1109.967624,1153.123705,2484.619473
2019,1,정릉로,서울 성북구 돈암동 8-164번지 ,911.3167324,510.769396,860.2558618,681.3937403,823.8230658,752.8082803,688.2607189,1117.634824,819.0125608,448.3550466,1081.129486,752.3538745,866.1845861,833.8084527,849.2934882,1905.059914
2019,1,종로,서울 종로구 종로 169 (종묘주차장 앞),283.0389989,156.5746491,575.8122759,498.8782338,490.1842503,472.3443769,412.4779044,648.8387653,272.824497,160.2626539,584.6321395,446.086411,425.4139896,458.5760903,450.2895949,988.8544977
2019,1,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",283.0389989,156.5746491,575.8122759,498.8782338,490.1842503,472.3443769,412.4779044,648.8387653,272.824497,160.2626539,584.6321395,446.086411,425.4139896,458.5760903,450.2895949,988.8544977
2019,1,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,271.4291333,119.9472232,496.8127475,639.5052669,553.7186632,464.50342,398.4395447,559.5904381,281.4328174,121.4380882,527.1480118,594.2747991,473.0222525,427.3429871,460.6702615,892.2630331
2019,1,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,837.5009589,413.1857617,753.3983321,859.1095661,872.2349746,905.8202504,837.832456,1217.063121,825.7070087,397.942681,818.2055772,907.0292188,820.3308597,1012.993099,1014.313166,2008.64709
2019,1,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),1050.551945,554.8330654,786.8976828,913.8714434,1016.953391,959.3809686,918.1938115,1278.124821,952.0670339,492.7388187,820.0414968,974.8712129,1050.131853,1076.579775,1167.344251,1906.923218
2019,1,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),271.4291333,119.9472232,496.8127475,639.5052669,553.7186632,464.50342,398.4395447,559.5904381,281.4328174,121.4380882,527.1480118,594.2747991,473.0222525,427.3429871,460.6702615,892.2630331
2019,1,한강대로,서울 용산구 한강대로 405 (서울역 앞),441.6722137,219.7868938,560.614046,776.7218938,708.051472,555.3526829,461.2684319,730.1202558,468.709401,230.0939897,652.0131444,784.5932895,655.8033228,518.5133696,545.8996861,1235.73768
2019,1,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),"1,448","1,368","1,483","1,920","2,392","2,134","1,713","1,081","1,318","1,251","1,393","1,980","2,249","2,140","1,717","1,363"
2019,1,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),816.7235355,411.8434982,1111.353789,862.8441387,939.700535,834.2178712,771.1304735,1286.090412,754.8901376,379.9824622,1268.090615,872.5668993,839.8773334,873.5583622,938.408076,2115.151139
2019,1,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,1047.097934,695.6687564,1074.478002,806.9868491,1018.494413,1070.929903,936.116501,1345.696165,1031.15477,673.1441377,1120.743614,904.4971056,1143.578899,1214.735957,1166.248604,2406.169418
2019,2,강남구,서울 강남구 학동로 426 강남구청 별관 1동,907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651
2019,2,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),899.9164046,508.5771452,806.236678,678.7758355,1162.124692,957.581125,757.161772,1223.807099,972.7457764,555.2851478,865.5693869,1072.688625,1139.818942,906.306351,921.992819,1845.201421
2019,2,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,1028.436757,541.6412187,749.8115183,737.4758258,996.7579133,926.7539416,891.869763,1251.215256,920.7619805,474.3071563,792.5953877,936.33217,1008.887943,1036.039006,1133.261098,1864.609279
2019,2,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,689.1497983,296.3468263,850.4778611,420.8469456,775.8821384,666.6426405,582.7123655,815.1952771,622.1330158,276.3881103,944.8432477,876.9284284,697.8636618,662.1968176,711.2626838,1377.850195
2019,2,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,782.9266973,431.4268659,762.687681,566.1367783,882.0620365,844.912453,780.1289648,1458.404037,717.4122088,393.4708005,943.0328038,760.7875646,863.2608148,970.4416316,1017.235462,2395.670129
2019,2,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,1077.48872,484.8772527,773.8352541,632.3955893,1116.219135,872.2311238,841.6765005,1248.235268,1092.723839,479.401415,912.95825,1242.546014,1080.642775,951.0273054,1074.634114,1942.034863
2019,2,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,1077.48872,484.8772527,773.8352541,632.3955893,1116.219135,872.2311238,841.6765005,1248.235268,1092.723839,479.401415,912.95825,1242.546014,1080.642775,951.0273054,1074.634114,1942.034863
2019,2,관악구,서울 관악구 신림동길 14 신림동 주민센터,640.9578347,317.914625,1075.308276,496.2556265,950.2475187,726.4151301,641.5668827,1095.64334,641.4304587,312.5690721,1317.970626,1139.882283,809.7906413,770.5615673,836.8793935,1624.952534
2019,2,관악산,과천시 자하동길 64 (관악산 중계소),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,2,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,832.9422214,446.6643783,835.8508452,626.8560233,929.9565064,908.7160283,772.61937,1124.307484,802.072109,440.6627314,983.4530605,1074.419197,962.1542381,975.1605769,948.568765,1702.657833
2019,2,구로구,서울 구로구 가마산로 27길 45 구로고등학교,945.311136,419.7690219,729.7025993,521.0043826,1150.090151,920.9031069,855.9811226,1181.850735,892.9061502,390.6173905,815.3641629,1034.015684,969.743766,922.7187857,993.7492662,1702.928595
2019,2,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,592.2309168,287.5558296,563.0276682,387.4015121,775.6254025,727.40428,691.2130632,914.2136096,613.8247479,306.1644879,572.465765,753.0895225,681.2464568,776.0613689,823.387615,1364.205653
2019,2,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),447.5508967,221.9978141,578.3583699,327.4158174,693.388954,545.8450658,452.7213538,713.525408,464.7319161,227.5328438,619.7515629,759.9566299,635.5919891,507.415815,535.1559379,1221.265937
2019,2,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),1038.188416,686.8441712,1022.793727,966.4486291,998.1934291,1052.678631,925.9173421,1309.856734,1002.552299,652.2144925,1065.168995,878.4083861,1098.637677,1190.353396,1147.033023,2362.644121
2019,2,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,791.7867551,436.9076059,689.5144837,565.1245503,772.5268523,762.7008763,796.3588531,1242.944249,717.518589,397.4749923,733.4659069,692.9765449,753.7853758,887.5911087,965.9930837,1988.211049
2019,2,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651
2019,2,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,818.3926666,411.4654747,989.8138778,554.845537,921.6210276,823.3571416,762.6206908,1260.885127,734.9124023,371.0897482,1133.479137,846.7957852,827.2119742,853.6067747,921.9384028,2072.860995
2019,2,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,878.7220867,413.7775833,966.8943243,565.475886,986.2840662,820.2288169,784.2823817,1296.640262,914.937254,414.5295171,1093.647032,1068.029507,962.8952357,931.142491,1009.858616,2040.406269
2019,2,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,878.7220867,413.7775833,966.8943243,565.475886,986.2840662,820.2288169,784.2823817,1296.640262,914.937254,414.5295171,1093.647032,1068.029507,962.8952357,931.142491,1009.858616,2040.406269
2019,2,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,839.5104096,475.4791857,1104.529113,719.5223002,1151.157906,849.8788237,669.0191018,1042.758495,846.8785728,476.5351752,1418.088851,1276.397578,1154.822869,887.6222962,835.3237223,1793.584758
2019,2,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),782.9266973,431.4268659,762.687681,566.1367783,882.0620365,844.912453,780.1289648,1458.404037,717.4122088,393.4708005,943.0328038,760.7875646,863.2608148,970.4416316,1017.235462,2395.670129
2019,2,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,835.3504224,407.6917018,968.859199,585.1075895,968.7393054,846.0849633,736.6653842,1229.986828,815.0394112,403.9517214,1382.152048,1007.730331,937.5858362,921.8388903,899.0185666,1984.710299
2019,2,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,899.9164046,508.5771452,806.236678,678.7758355,1162.124692,957.581125,757.161772,1223.807099,972.7457764,555.2851478,865.5693869,1072.688625,1139.818942,906.306351,921.992819,1845.201421
2019,2,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,689.1497983,296.3468263,850.4778611,420.8469456,775.8821384,666.6426405,582.7123655,815.1952771,622.1330158,276.3881103,944.8432477,876.9284284,697.8636618,662.1968176,711.2626838,1377.850195
2019,2,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,886.6340727,497.0721984,786.1451786,571.1086548,801.7023254,733.0020425,673.3608141,1090.162698,786.7249179,431.0218779,986.3749695,722.3219129,837.7708343,805.4463207,827.3385277,1861.546573
2019,2,세곡,서울 강남구 밤고개로 337 (세곡사거리),907.9663622,587.0498409,844.6823398,861.8553302,1291.400219,1036.914524,771.5376474,1207.782015,874.1442571,550.4646357,989.9557292,1226.295193,1227.739684,941.4390755,958.3049154,1763.948651
2019,2,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),1090.825606,568.030705,768.0787163,730.0907504,1111.260816,947.462927,860.6078262,1140.842823,1097.478526,574.8699663,848.3621503,1143.909705,1097.567212,1041.108641,1094.75063,1751.381029
2019,2,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,592.2309168,287.5558296,563.0276682,387.4015121,775.6254025,727.40428,691.2130632,914.2136096,613.8247479,306.1644879,572.465765,753.0895225,681.2464568,776.0613689,823.387615,1364.205653
2019,2,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),839.5104096,475.4791857,1104.529113,719.5223002,1151.157906,849.8788237,669.0191018,1042.758495,846.8785728,476.5351752,1418.088851,1276.397578,1154.822869,887.6222962,835.3237223,1793.584758
2019,2,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,943.4531244,617.95525,642.6273252,704.461829,902.3265452,839.8205371,705.3993294,928.9688421,877.7138865,574.3895196,679.4424187,763.6540655,931.559824,912.7116236,841.5610462,1540.469037
2019,2,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),721.5115843,325.2907653,753.6364135,445.1923562,968.3086849,820.0364631,722.8770722,1082.736226,720.6628546,305.3841954,877.4549964,1085.048806,832.7619925,795.44085,838.8104185,1611.427941
2019,2,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),721.5115843,325.2907653,753.6364135,445.1923562,968.3086849,820.0364631,722.8770722,1082.736226,720.6628546,305.3841954,877.4549964,1085.048806,832.7619925,795.44085,838.8104185,1611.427941
2019,2,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,447.5508967,221.9978141,578.3583699,327.4158174,693.388954,545.8450658,452.7213538,713.525408,464.7319161,227.5328438,619.7515629,759.9566299,635.5919891,507.415815,535.1559379,1221.265937
2019,2,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),1078.676007,604.3025676,800.7431252,765.5554467,1070.346782,971.2625123,866.5361819,1450.518015,979.8983288,541.9593194,917.4528938,999.3767935,1120.431921,1081.855277,1128.450638,2452.425636
2019,2,정릉로,서울 성북구 돈암동 8-164번지 ,886.6340727,497.0721984,786.1451786,571.1086548,801.7023254,733.0020425,673.3608141,1090.162698,786.7249179,431.0218779,986.3749695,722.3219129,837.7708343,805.4463207,827.3385277,1861.546573
2019,2,종로,서울 종로구 종로 169 (종묘주차장 앞),282.1230586,158.4973252,544.2710733,256.7447166,483.9979452,471.2202435,410.671558,647.5293502,273.9147492,161.3229773,543.1916574,437.1624643,419.1284042,452.4218918,436.8794116,974.8450851
2019,2,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",282.1230586,158.4973252,544.2710733,256.7447166,483.9979452,471.2202435,410.671558,647.5293502,273.9147492,161.3229773,543.1916574,437.1624643,419.1284042,452.4218918,436.8794116,974.8450851
2019,2,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,266.2529417,118.6293243,448.4857212,196.7566138,535.4657826,454.852866,387.3734419,546.7761433,275.5253781,118.8793981,490.8339795,572.4872379,464.5270021,415.9646319,445.6101021,867.7659774
2019,2,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,818.7821971,403.4691192,720.6579525,542.6307804,844.7410179,883.3881904,813.7805121,1183.98614,805.7015964,387.2332116,791.8870585,873.8456625,798.0288556,972.9751496,987.0697134,1939.722613
2019,2,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),1028.436757,541.6412187,749.8115183,737.4758258,996.7579133,926.7539416,891.869763,1251.215256,920.7619805,474.3071563,792.5953877,936.33217,1008.887943,1036.039006,1133.261098,1864.609279
2019,2,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),266.2529417,118.6293243,448.4857212,196.7566138,535.4657826,454.852866,387.3734419,546.7761433,275.5253781,118.8793981,490.8339795,572.4872379,464.5270021,415.9646319,445.6101021,867.7659774
2019,2,한강대로,서울 용산구 한강대로 405 (서울역 앞),447.5508967,221.9978141,578.3583699,327.4158174,693.388954,545.8450658,452.7213538,713.525408,464.7319161,227.5328438,619.7515629,759.9566299,635.5919891,507.415815,535.1559379,1221.265937
2019,2,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),"1,442","1,384","1,464","1,905","2,407","2,138","1,713","1,089","1,312","1,253","1,391","1,983","2,250","2,144","1,711","1,377"
2019,2,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),818.3926666,411.4654747,989.8138778,554.845537,921.6210276,823.3571416,762.6206908,1260.885127,734.9124023,371.0897482,1133.479137,846.7957852,827.2119742,853.6067747,921.9384028,2072.860995
2019,2,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,1038.188416,686.8441712,1022.793727,966.4486291,998.1934291,1052.678631,925.9173421,1309.856734,1002.552299,652.2144925,1065.168995,878.4083861,1098.637677,1190.353396,1147.033023,2362.644121
2019,3,강남구,서울 강남구 학동로 426 강남구청 별관 1동,994.0024349,645.442882,789.4364268,1225.198839,1370.2358,1075.615385,788.4406444,1223.399842,942.0474682,598.3893053,989.6063833,1286.636973,1302.6303,976.891837,986.6362861,1788.419344
2019,3,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),960.2580011,543.4562962,767.8891848,1032.826847,1208.679139,986.1257753,770.355805,1233.339724,1036.336532,592.8535091,884.4220753,1115.506142,1204.660964,937.3560453,945.2692124,1836.790213
