year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck
2019,1,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159548,5206,13006,345,17140
2019,1,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,90341,4029,20522,178,11194
2019,1,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,100121,5304,26201,154,11045
2019,1,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211579,6337,16766,402,16506
2019,1,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,203131,7329,19586,389,26847
2019,1,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69195,4461,11515,158,13472
2019,1,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101177,4401,17048,244,12221
2019,1,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,129193,5245,18578,552,15691
2019,1,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,117438,5476,16318,1163,19693
2019,1,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,117438,5476,16318,1163,19693
2019,1,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67740,2590,15983,135,7131
2019,1,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,110936,5420,20851,266,13432
2019,1,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100121,5304,26201,154,11045
2019,1,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,41223,3910,13118,185,5403
2019,1,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,41223,3910,13118,185,5403
2019,1,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,41072,3379,14585,223,7220
2019,1,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93204,4923,24221,414,15618
2019,1,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,115009,4803,16276,288,15538
2019,1,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,41072,3379,14585,223,7220
2019,1,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67740,2590,15983,135,7131
2019,1,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,NA,NA,NA,NA,NA
2019,1,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81190,3904,23663,175,13184
2019,1,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,134082,5850,14886,343,13545
2019,2,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211680,6327,16749,399,16434
2019,2,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159626,5151,12971,349,17126
2019,2,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,115088,4810,16276,292,15535
2019,2,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89881,4015,20463,177,11150
2019,2,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63802,4014,21735,161,9373
